CD_SETOR;total_consumidores;ambientalistas;moderados;perdularios;media_consumo_diario;%_ambientalistas;%_moderados;%_perdularios
S302;1;0;0;1;143557.38;0.00;0.00;100.00
S325;1;0;0;1;311.48;0.00;0.00;100.00
S107;226;15;15;196;438.83;6.64;6.64;86.73
S108;222;34;26;162;328.28;15.32;11.71;72.97
S168;91;21;4;66;778.90;23.08;4.40;72.53
S345;97;22;8;67;599.10;22.68;8.25;69.07
S344;101;21;11;69;822.70;20.79;10.89;68.32
S030;103;25;8;70;649.04;24.27;7.77;67.96
S140;66;17;5;44;365.95;25.76;7.58;66.67
S296;24;4;4;16;254.48;16.67;16.67;66.67
S239;83;24;6;53;298.06;28.92;7.23;63.86
S260;173;53;11;109;571.42;30.64;6.36;63.01
S031;127;40;10;77;656.59;31.50;7.87;60.63
S227;86;29;8;49;414.52;33.72;9.30;56.98
S319;172;60;15;97;375.39;34.88;8.72;56.40
S046;79;31;4;44;490.67;39.24;5.06;55.70
S029;209;85;8;116;393.04;40.67;3.83;55.50
S099;211;80;15;116;262.56;37.91;7.11;54.98
S275;118;39;16;63;270.14;33.05;13.56;53.39
S135;105;43;7;55;238.14;40.95;6.67;52.38
S127;261;113;13;135;234.82;43.30;4.98;51.72
S272;188;72;20;96;433.76;38.30;10.64;51.06
S077;141;60;10;71;283.29;42.55;7.09;50.35
S022;183;81;13;89;232.69;44.26;7.10;48.63
S178;292;138;14;140;214.21;47.26;4.79;47.95
S048;261;121;15;125;194.63;46.36;5.75;47.89
S027;83;38;6;39;239.88;45.78;7.23;46.99
S188;83;39;5;39;264.76;46.99;6.02;46.99
S024;167;69;21;77;293.53;41.32;12.57;46.11
S063;186;86;15;85;212.23;46.24;8.06;45.70
S034;199;103;10;86;202.30;51.76;5.03;43.22
S186;295;138;31;126;238.81;46.78;10.51;42.71
S291;136;63;15;58;270.20;46.32;11.03;42.65
S278;111;55;9;47;269.33;49.55;8.11;42.34
S079;191;102;10;79;184.71;53.40;5.24;41.36
S136;160;84;10;66;294.91;52.50;6.25;41.25
S025;253;135;14;104;234.00;53.36;5.53;41.11
S067;151;84;5;62;168.82;55.63;3.31;41.06
S301;146;75;13;58;195.36;51.37;8.90;39.73
S028;127;71;6;50;250.41;55.91;4.72;39.37
S277;74;38;7;29;589.33;51.35;9.46;39.19
S323;212;111;18;83;175.58;52.36;8.49;39.15
S313;23;11;3;9;185.90;47.83;13.04;39.13
S305;95;51;7;37;315.78;53.68;7.37;38.95
S023;206;100;26;80;282.96;48.54;12.62;38.83
S292;153;80;14;59;200.84;52.29;9.15;38.56
S329;179;88;22;69;238.26;49.16;12.29;38.55
S280;105;62;3;40;162.98;59.05;2.86;38.10
S115;153;87;8;58;170.73;56.86;5.23;37.91
S326;186;107;9;70;169.43;57.53;4.84;37.63
S307;46;25;4;17;216.35;54.35;8.70;36.96
S132;126;73;7;46;198.81;57.94;5.56;36.51
S248;228;117;28;83;224.86;51.32;12.28;36.40
S133;75;38;10;27;231.51;50.67;13.33;36.00
S020;273;154;22;97;169.19;56.41;8.06;35.53
S134;69;38;8;23;244.43;55.07;11.59;33.33
S189;157;97;8;52;149.10;61.78;5.10;33.12
S324;278;168;18;92;152.94;60.43;6.47;33.09
S021;149;91;9;49;158.62;61.07;6.04;32.89
S300;192;112;17;63;166.95;58.33;8.85;32.81
S081;124;67;17;40;159.25;54.03;13.71;32.26
S103;290;176;21;93;172.20;60.69;7.24;32.07
S181;110;66;9;35;146.29;60.00;8.18;31.82
S247;158;92;16;50;158.43;58.23;10.13;31.65
S279;203;127;13;63;142.87;62.56;6.40;31.03
S180;243;147;21;75;146.48;60.49;8.64;30.86
S120;140;81;16;43;195.72;57.86;11.43;30.71
S026;114;68;11;35;159.10;59.65;9.65;30.70
S328;82;55;2;25;1042.46;67.07;2.44;30.49
S074;222;139;16;67;148.45;62.61;7.21;30.18
S244;37;25;1;11;143.09;67.57;2.70;29.73
S129;194;129;8;57;137.33;66.49;4.12;29.38
S308;80;50;7;23;163.06;62.50;8.75;28.75
S299;140;83;17;40;186.81;59.29;12.14;28.57
S073;117;81;3;33;137.72;69.23;2.56;28.21
S106;138;93;7;38;124.36;67.39;5.07;27.54
S105;172;119;6;47;123.99;69.19;3.49;27.33
S294;77;47;9;21;150.75;61.04;11.69;27.27
S303;111;78;3;30;115.96;70.27;2.70;27.03
S033;198;133;12;53;134.32;67.17;6.06;26.77
S304;162;108;11;43;150.20;66.67;6.79;26.54
S295;87;55;9;23;133.15;63.22;10.34;26.44
S066;57;38;4;15;120.11;66.67;7.02;26.32
S166;116;81;5;30;118.70;69.83;4.31;25.86
S327;228;149;21;58;179.39;65.35;9.21;25.44
S084;186;119;20;47;148.51;63.98;10.75;25.27
S123;136;89;13;34;122.35;65.44;9.56;25.00
S173;121;87;4;30;113.46;71.90;3.31;24.79
S083;163;112;11;40;115.20;68.71;6.75;24.54
S082;173;121;10;42;108.63;69.94;5.78;24.28
S167;192;135;12;45;113.35;70.31;6.25;23.44
S318;190;136;10;44;86.16;71.58;5.26;23.16
S163;88;57;11;20;141.21;64.77;12.50;22.73
S193;140;103;7;30;93.83;73.57;5.00;21.43
S317;151;115;6;30;88.41;76.16;3.97;19.87
S032;228;175;10;43;91.66;76.75;4.39;18.86
S293;88;68;4;16;87.75;77.27;4.55;18.18
S121;185;142;10;33;89.93;76.76;5.41;17.84
S200;131;108;4;19;55.86;82.44;3.05;14.50
S203;52;41;4;7;62.01;78.85;7.69;13.46
S192;57;51;1;5;56.38;89.47;1.75;8.77
S035;1;1;0;0;63.52;100.00;0.00;0.00
