CD_SETOR,NUM_LIGACOES
S186,296
S178,292
S103,292
S324,291
S020,276
S327,268
S048,264
S127,263
S025,262
S032,245
S180,243
S248,235
S107,226
S074,223
S108,222
S323,222
S029,214
S099,214
S034,209
S023,208
S167,205
S279,204
S033,203
S105,197
S129,196
S079,194
S300,193
S318,193
S084,191
S304,189
S272,189
S022,188
S121,187
S063,187
S326,187
S083,185
S329,183
S082,182
S260,173
S319,173
S024,173
S136,165
S115,163
S317,159
S247,159
S189,158
S067,156
S200,155
S292,154
S021,150
S193,148
S301,146
S166,142
S106,141
S120,141
S077,141
S299,140
S073,138
S291,137
S031,136
S123,136
S303,132
S028,132
S132,127
S081,125
S173,122
S181,120
S275,119
S278,117
S026,115
S280,112
S135,108
S030,104
S344,104
S345,100
S293,99
S305,95
S168,94
S163,89
S328,89
S027,88
S295,88
S227,87
S294,85
S239,85
S308,84
S188,83
S046,79
S277,76
S133,75
S134,72
S140,67
S203,65
S066,57
S192,57
S307,46
S244,37
S313,24
S296,24
S035,11
S325,1
S302,1
